account	계산 
account for	~를 설명하다 
benefit from	~로부터 혜택을 받다 
condense	압축하다 
condense into	~로 압축하다 
better	~를 개선하다 
conduct	실시, 시행하다 
accrue	생기다, 얻어지다 
conductor	지휘자 , 차장 
confirmation	확정서 
be aware of	~를 조심하다 
biannual	반년마다의 
accumulation	축적, 축적물 
confirmed	확인된 
beneficial	혜택이 많은
beneficiary	수혜자 
confiscate	압수, 몰수하다 
binding	구속력 있는, 의무적인
bill	계산서, 청구서, 법안 
accurately	정확히 
achievement	업적, 성과
irretrievable	돌이킬 수 없는 
issue	발행하다, 발급, 문제 
be laid off	해고되다 
land fill	매립지 
land slide	사태, 산사태 
itinerary	여행스케줄 
agenda	의사일정 
mutually	서로 
natural disaster	재해 
