needlessly	불필요한 
jet lag	시차 부적응중 
keynote speech	기조연설 
laboratory	실험실 
lack	부족하다 
municipal	시의 
multiply	급증하다 
mutual	상호의 
largely	주로, 대량으로 
lastingly	영속적인, 영구적인 
lavatory	기차, 비행기의 화장실
support	지지, 지주 
irritate	짜증나게(초조하게)하다 
generous	관대한, 마음이 넓은 
tolerant	관대한, 아량이 있는 
liberal	자유주의자, 자유당원 
reject	거절하다 
substitute	대리의 
occur	일어나다, 나타나다 
despise	경멸하다 
contempt	경멸(disdain), 멸시 
gain	이익, 증가, 진보 
avail	도움이 되다 
educate	교육하다, 양성하다 
resemble	닮다 
grasp	쥠, 지배(력) 
reconsider	재고하다 
support	지지, 지주, 지지물 
irritate	짜증나게(초조하게)하다 
specify	명시하다.
