tolerant	관대한, 아량이 있는
prove	입증하다 
illustrate	설명하다 
exemplify	예시하다, 예증하다 
conservative	보수적인;전통적인 
progressive	전진하는, 누진적인 
fortify	견고하게 하다 
strengthen	강하게하다, 강해지다 
reinforce	보강하다 
multiply	늘리다, 번식시키다 
reproduce	재생시키다;재현하다 
elicit	끌어내다 
extract	끌어내다, 빼어내다 
implore	간청(탄원, 애원)하다 
appoint	임명하다 
disgust	역겹게하다 
preach	설교하다, 전도하다 
worship	숭배(존경)하다 
yawn	하품하다 
hiccup	딸꾹질 
quarrel	네모진 촉이 달린 화살
pillar	기둥, 주석 
servitude	노예 상태 
recreation	휴양;원기회복 
punctuality	시간엄수 
punctual	시간을 엄수하는 
fascination	매혹, 눈독들임 
attraction	끄는 힘, 인력, 흡인(력) 
vicious	사악한, 부도덕한, 타락한 
distrust	불신, 의혹, 의심하다 
